0,72.8.180.58,106.211.78.227,112,0.000000000,0.0004,0,
55,106.211.78.227,96.17.182.65,424,30.362653000,6.3561,0,
56,106.211.78.227,223.165.25.205,1247,31.075857000,0.1438,1,'http://geodataservice205.indiatimes.com/getGeo.aspx?rettype=json&detail=completedetail&callback=weatherinfo&key=net$pider@til'::31.075857000
57,106.211.78.227,173.194.36.109,92816,32.406447000,8.3223,7,"'http://pagead2.googlesyndication.com/pagead/show_ads.js'::32.507683000, 'http://pagead2.googlesyndication.com/pagead/js/r20130404/r20130206/show_ads_impl.js'::32.690230000, 'http://pagead2.googlesyndication.com/pagead/show_ads.js'::33.407950000, 'http://pagead2.googlesyndication.com/pagead/js/r20130404/r20130206/show_ads_impl.js'::33.830064000, 'http://pagead2.googlesyndication.com/pagead/osd.js'::36.243861000, 'http://pagead2.googlesyndication.com/pagead/show_ads.js'::38.006985000, 'http://pagead2.googlesyndication.com/pagead/js/r20130404/r20130206/show_ads_impl.js'::40.447044000"
58,106.211.78.227,223.165.25.20,819,32.443557000,0.1177,1,'http://netspiderads2.indiatimes.com/ads.dll/getad?slotid=36441'::32.443557000
59,106.211.78.227,74.125.128.188,1139,32.499535000,23.4483,0,
60,106.211.78.227,173.194.36.109,9299,32.501345000,1.3482,1,'http://pagead2.googlesyndication.com/pagead/osd.js'::33.413315000
61,106.211.78.227,223.165.25.20,3111,32.563743000,29.5916,2,"'http://netspiderads2.indiatimes.com/ads.dll/getad?slotid=36441'::32.666364000, 'http://netspiderads2.indiatimes.com/ads.dll/genptypead?slotid=35823&srands=1365679000000&shtype=3'::61.597434000"
62,106.211.78.227,173.194.36.90,2154,33.396930000,1.0325,1,'http://googleads.g.doubleclick.net/pagead/ads?client=ca-timesofindia_site_js&output=js&num_ads=2&channel=TOI_home_top&ad_type=text&adtest=off&ea=0&color_line=ff0000&feedback_link=on&flash=11.1.115&url=http%3A%2F%2Ftimesofindia.indiatimes.com%2F&adsafe=high&dt=1365678984861&shv=r20130404&cbv=r20130206&saldr=1&correlator=1365678985518&frm=23&adk=511001906&ga_vid=1685407540.1365678986&ga_sid=1365678986&ga_hid=646171315&ga_fc=0&u_tz=330&u_his=2&u_java=0&u_h=1280&u_w=720&u_ah=1280&u_aw=720&u_cd=16&u_nplug=1&u_nmime=2&dff=sans-serif&dfs=16&biw=980&bih=1544&isw=670&ish=90&ifk=2971393465&oid=3&loc=http%3A%2F%2Ftimesofindia.indiatimes.com%2F&fu=4&ifi=1&dtd=706'::33.396930000
63,106.211.78.227,96.17.182.66,424,33.410133000,5.8399,0,
64,106.211.78.227,96.17.182.66,424,33.454697000,5.7851,0,
