110.225.91.4,96.17.182.32,424,63.375823000,6.7112,0 objects
110.225.91.4,96.17.182.32,684,63.376060000,6.8099,0 objects
110.225.91.4,50.16.236.36,1381,75.134680000,1.5535,1 objects with urls like: http://ping.chartbeat.net/ping?h=timesofindia.indi...
110.225.91.4,54.243.46.157,424,75.391030000,2.7846,0 objects
110.225.91.4,74.125.128.188,275,90.194788000,0.0002,0 objects
110.225.91.4,31.13.79.1,299,97.230651000,0.0382,0 objects
110.225.91.4,31.13.79.17,299,98.914375000,0.0393,0 objects
110.225.91.4,31.13.79.1,231,99.359877000,0.0388,0 objects
110.225.91.4,96.17.182.65,616,106.051518000,8.4783,0 objects
110.225.91.4,96.17.182.66,876,106.680371000,7.8858,0 objects
110.225.91.4,31.13.79.1,231,107.269924000,0.0387,0 objects
110.225.91.4,223.165.30.26,580,109.908192000,5.4283,0 objects
110.225.91.4,50.16.236.36,1381,114.614617000,1.2111,1 objects with urls like: http://ping.chartbeat.net/ping?h=timesofindia.indi...
110.225.91.4,54.243.46.157,492,114.840246000,2.1351,0 objects
110.225.91.4,50.16.236.36,789,129.040094000,0.6905,1 objects with urls like: http://ping.chartbeat.net/ping?h=timesofindia.indi...
110.225.91.4,54.243.46.157,220,129.284266000,0.4778,0 objects
